"rank","n.trees","interaction.depth","shrinkage","n.minobsinnode","MAE","RMSE","Rsquared"
1,700,5,0.05,10,0.197354175818167,0.25800571984716,0.651484789487495
2,500,5,0.05,10,0.202032016006281,0.263206939609044,0.637287280690699
3,700,5,0.03,10,0.204249303402045,0.265704596897382,0.630397857640014
4,700,3,0.05,10,0.207300871499863,0.269313447194937,0.620027792205886
5,300,5,0.05,10,0.2092359924258,0.271256265144166,0.614796878270129
6,500,5,0.03,10,0.209258477363992,0.271251503497086,0.614955925246354
7,500,3,0.05,10,0.21188601137358,0.27456688682891,0.605034076366362
8,700,3,0.03,10,0.214231115070201,0.27720473590994,0.597604957569902
9,300,5,0.03,10,0.217365792192744,0.280187709764535,0.589616886474485
10,500,3,0.03,10,0.219121900930498,0.282807839467186,0.581315132802975
11,300,3,0.05,10,0.219158422299977,0.282782104085802,0.581309885413747
12,300,3,0.03,10,0.22745363441986,0.291643174287157,0.556111709866747
